,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
1,High_sat,High_grade,5_NP,"[248,269]_H",6_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
2,Very_low_sat,High_grade,7_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,1_SALARY
3,High_sat,High_grade,5_NP,"[183,225]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
4,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
5,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
6,Very_low_sat,High_grade,6_NP,"[226,247]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
7,Very_high_sat,High_grade,5_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
8,Very_high_sat,Very_high_grade,5_NP,"[183,225]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
9,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
10,Medium_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
11,Very_low_sat,High_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
12,Very_high_sat,Very_high_grade,4_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
13,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
14,Low_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
15,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
16,Medium_sat,Low_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
17,High_sat,Very_high_grade,4_NP,"[248,269]_H",6_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
18,Medium_sat,Medium_grade,2_NP,"[140,161]_H",3_T,1_ACC,1_L,1_PR,sales_SALES,0_SALARY
19,High_sat,High_grade,5_NP,"[248,269]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
20,Very_low_sat,High_grade,6_NP,"[270,289]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
21,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
22,Very_low_sat,Very_high_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
23,Medium_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
24,Low_sat,Medium_grade,2_NP,"[140,161]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
25,Very_high_sat,Very_high_grade,5_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
26,Very_high_sat,High_grade,4_NP,"[226,247]_H",5_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
27,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,sales_SALES,0_SALARY
28,Medium_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,accounting_SALES,0_SALARY
29,Low_sat,Low_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,accounting_SALES,0_SALARY
30,Very_low_sat,Medium_grade,6_NP,"[290,311]_H",4_T,0_ACC,1_L,0_PR,accounting_SALES,0_SALARY
31,Medium_sat,Medium_grade,2_NP,"[119,140]_H",3_T,0_ACC,1_L,0_PR,hr_SALES,0_SALARY
